id,skill,invocation,should_trigger,fixture,run_mode,prompt,checks_json,notes
EV-111,core-gates-and-evidence,contextual,true,openspec_bad_change,workspace-write,According to openspec/specs/workflow.md the repo gate is 'npm run verify'. Append an evidence entry for that gate under '## Evidence log' in openspec/changes/demo-change/tasks.md. Do not run commands in this fixture; record Status: NOT_RUN (eval) + exit code N/A. Write ONLY to tasks.md.,"[""file_exists:openspec/specs/workflow.md"", ""file_contains:openspec/changes/demo-change/tasks.md:NOT_RUN (eval)"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
EV-112,core-gates-and-evidence,negative,false,openspec_bad_change,workspace-write,Explain how to run the gate (npm run verify) and what to record under '## Evidence log' in openspec/changes/demo-change/tasks.md. Do NOT modify any files; explanation only.,"[""no_writes"", ""file_not_contains:openspec/changes/demo-change/tasks.md:NOT_RUN (eval)"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same evidence concept and same target file, but asks for explanation only (no logging)."
EV-113,spec-spec-from-brief,explicit,true,tierb_batch2,workspace-write,Run $spec-spec-from-brief for slug 'feature-brief'. Use brief.md as the source brief. Populate openspec/changes/feature-brief/specs/spec.md. Do not modify any other files.,"[""file_exists:openspec/changes/feature-brief/specs/spec.md"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:notes.csv"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:localStorage"", ""writes_only:openspec/changes/feature-brief/specs/spec.md"", ""no_web_search""]",Tier B: explicit spec generation from brief into an existing change scaffold.
EV-114,spec-spec-from-brief,implicit,true,tierb_batch2,workspace-write,"From brief.md, generate a complete SPEC in openspec/changes/feature-brief/specs/spec.md (requirements + scenarios + acceptance). Only edit that SPEC file.","[""file_exists:openspec/changes/feature-brief/specs/spec.md"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:notes.csv"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:localStorage"", ""writes_only:openspec/changes/feature-brief/specs/spec.md"", ""no_web_search""]",Tier B: implicit intent (no skill name) but same objective output.
EV-115,spec-spec-from-brief,contextual,true,tierb_batch2,workspace-write,"Using brief.md as the ONLY source, update openspec/changes/feature-brief/specs/spec.md. Ensure the SPEC explicitly covers CSV export to notes.csv and CSV import. Only edit that file.","[""file_exists:openspec/changes/feature-brief/specs/spec.md"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:notes.csv"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:Import"", ""writes_only:openspec/changes/feature-brief/specs/spec.md"", ""no_web_search""]",Tier B contextual: forces grounding in the fixture brief; checks for explicit coverage of export/import.
EV-116,spec-spec-from-brief,negative,false,tierb_batch2,workspace-write,"Read brief.md and outline (in prose) what the SPEC should contain, but DO NOT create or modify any files.","[""no_writes"", ""file_contains:openspec/changes/feature-brief/specs/spec.md:<REQ-1>"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Near-miss: looks like spec work but requests explanation-only (no file edits).
EV-117,spec-intake-router,explicit,true,tierb_batch2,read-only,Run $spec-intake-router (mode=feature). Use brief.md and return the recommended next $skill calls (with flags) to go from brief -> spec -> implementation. Do not write files.,"[""trace_contains:spec-change-slugger"", ""trace_contains:spec-new-change-from-templates"", ""trace_contains:spec-spec-from-brief"", ""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Explicit routing for a new feature brief; verified via trace_contains of key downstream skills.
EV-118,spec-intake-router,implicit,true,tierb_batch2,read-only,"Given brief.md, what Codex skills should I run next (in order) to go from brief -> OpenSpec -> implementation? Return the exact $skill calls. Do not modify files.","[""trace_contains:spec-change-slugger"", ""trace_contains:spec-new-change-from-templates"", ""trace_contains:spec-spec-from-brief"", ""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Implicit routing (no skill name), intent is still to route next steps."
EV-119,spec-intake-router,contextual,true,tierb_batch2,read-only,"Using openspec/specs/workflow.md and brief.md in this repo, route the correct next steps. Return exact $skill calls + flags. Do not write files.","[""trace_contains:spec-change-slugger"", ""trace_contains:spec-new-change-from-templates"", ""trace_contains:spec-spec-from-brief"", ""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Contextual routing: forces grounding in workflow.md + brief.md from the fixture.
EV-120,spec-intake-router,negative,false,tierb_batch2,workspace-write,Explain (high-level) what spec-intake-router is for and how it decides. Do NOT route this brief and do NOT suggest specific $skill calls. Do not modify files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: topic about routing, but asks for explanation-only (no per-brief routing)."
EV-121,spec-apply-with-evidence,explicit,true,tierb_batch2,workspace-write,Run $spec-apply-with-evidence for change slug demo-apply. Implement AC-1 from openspec/changes/demo-apply/specs/mini-spec.md by creating src/hello.js exporting greet() returning 'hello'. Run npm run verify and append commands + outputs to openspec/changes/demo-apply/tasks.md.,"[""file_exists:src/hello.js"", ""file_contains:src/hello.js:greet"", ""file_contains:src/hello.js:hello"", ""file_contains:openspec/changes/demo-apply/tasks.md:npm run verify"", ""writes_only:openspec/changes/demo-apply/**,src/**"", ""no_web_search""]",Explicit apply+evidence: implement + run verify + capture evidence.
EV-122,spec-apply-with-evidence,implicit,true,tierb_batch2,workspace-write,"Implement the change described in openspec/changes/demo-apply/specs/mini-spec.md, then run npm run verify and record evidence in openspec/changes/demo-apply/tasks.md. Keep diffs minimal.","[""file_exists:src/hello.js"", ""file_contains:src/hello.js:greet"", ""file_contains:src/hello.js:hello"", ""file_contains:openspec/changes/demo-apply/tasks.md:npm run verify"", ""writes_only:openspec/changes/demo-apply/**,src/**"", ""no_web_search""]",Implicit apply: same intent without naming the skill.
EV-123,spec-apply-with-evidence,contextual,true,tierb_batch2,workspace-write,"Using openspec/changes/demo-apply/specs/mini-spec.md as the ONLY requirement source, implement AC-1. Then run npm run verify and append evidence to openspec/changes/demo-apply/tasks.md. Do not change any other OpenSpec files.","[""file_exists:src/hello.js"", ""file_contains:src/hello.js:greet"", ""file_contains:src/hello.js:hello"", ""file_contains:openspec/changes/demo-apply/tasks.md:npm run verify"", ""writes_only:openspec/changes/demo-apply/**,src/**"", ""no_web_search""]",Contextual apply: grounded in fixture mini-spec; checks enforce minimal writes.
EV-124,spec-apply-with-evidence,negative,false,tierb_batch2,workspace-write,"Read openspec/changes/demo-apply/specs/mini-spec.md and write a step-by-step plan for implementing it and collecting evidence, but DO NOT modify any files or run commands.","[""no_writes"", ""file_not_exists:src/hello.js"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: asks for plan-only, not actual application of the spec (no writes)."
EV-125,spec-change-slugger,explicit,true,tt_scaffold,workspace-write,"$spec-change-slugger Generate the stable verb-led kebab-case slug for: ""Enable extended evals with core contract"". Output ONLY the slug.","[""no_writes"", ""trace_contains:enable-extended-evals-core-contract"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-126,spec-change-slugger,implicit,true,tt_scaffold,workspace-write,"Generate a stable verb-led kebab-case slug (2–5 tokens, starts with a verb) for the change title: ""Enable extended evals with core contract"". Output ONLY the slug.","[""no_writes"", ""trace_contains:enable-extended-evals-core-contract"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-127,spec-change-slugger,contextual,true,tt_scaffold,workspace-write,"Using the conventions in openspec/specs/workflow.md, produce the stable slug for the change title: ""Fix tasks lint rules"". Output ONLY the slug.","[""file_exists:openspec/specs/workflow.md"", ""no_writes"", ""trace_contains:fix-tasks-lint-rules"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-128,spec-change-slugger,negative,false,tt_scaffold,workspace-write,"We need a folder under openspec/changes/<slug>/ for the title ""Enable extended evals with core contract"". Propose 3 possible slugs and briefly justify each. Do NOT create any folders or files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same slug/title context, but asks for options + justification (not a single deterministic slug) and forbids writes."
EV-129,spec-drift-check,explicit,true,tierb_batch2,workspace-write,$spec-drift-check Slug: demo-apply. Use openspec/changes/demo-apply/specs/mini-spec.md. Assume current working diff changed files are: src/hello.js and README.md. Produce the drift report exactly in the required format (Status/Drift/Suggested fixes).,"[""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""no_writes"", ""trace_contains:Status:"", ""trace_contains:FAIL"", ""trace_contains:README.md"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-130,spec-drift-check,implicit,true,tierb_batch2,workspace-write,"Check for scope drift for change slug demo-apply by comparing this diff file list against openspec/changes/demo-apply/specs/mini-spec.md: changed files = src/hello.js, README.md. Output the drift report exactly as: Status:/Drift:/Suggested fixes: (no file writes).","[""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""no_writes"", ""trace_contains:FAIL"", ""trace_contains:README.md"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-131,spec-drift-check,contextual,true,tierb_batch2,workspace-write,"Per openspec/specs/workflow.md, every change must map to R/AC or approved decisions. For slug demo-apply, use openspec/changes/demo-apply/specs/mini-spec.md and assume the diff changed files are ONLY: src/hello.js (implementing AC-1). Produce the drift report (Status/Drift/Suggested fixes).","[""file_exists:openspec/specs/workflow.md"", ""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""no_writes"", ""trace_contains:PASS"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-132,spec-drift-check,negative,false,tierb_batch2,workspace-write,"Given slug demo-apply and changed files (src/hello.js, README.md), explain in 5 bullets how you would perform a drift check and what evidence you would look for. Do NOT produce a PASS/FAIL drift report and do NOT modify any files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same inputs as a drift check, but asks for explanation only (no formal report) and forbids writes."
EV-133,spec-tasks-lint,explicit,true,tierb_batch2,workspace-write,$spec-tasks-lint Lint openspec/changes/demo-apply/tasks.md against openspec/changes/demo-apply/specs/mini-spec.md. Output PASS or FAIL with TLINT-* errors (no writes).,"[""file_exists:openspec/changes/demo-apply/tasks.md"", ""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""no_writes"", ""trace_contains:Status:"", ""trace_contains:FAIL"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-134,spec-tasks-lint,implicit,true,tierb_batch2,workspace-write,"Validate openspec/changes/demo-apply/tasks.md against the AC list in openspec/changes/demo-apply/specs/mini-spec.md. Return only: Status: PASS|FAIL, Errors: TLINT-*, Fix hints (optional). Do not write files.","[""file_exists:openspec/changes/demo-apply/tasks.md"", ""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""no_writes"", ""trace_contains:FAIL"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-135,spec-tasks-lint,contextual,true,tierb_batch2,workspace-write,Use openspec/specs/workflow.md + openspec/changes/demo-apply/specs/mini-spec.md to lint openspec/changes/demo-apply/tasks.md. Output PASS|FAIL and TLINT-* codes only. No writes.,"[""file_exists:openspec/specs/workflow.md"", ""file_exists:openspec/changes/demo-apply/tasks.md"", ""no_writes"", ""trace_contains:FAIL"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-136,spec-tasks-lint,negative,false,tierb_batch2,workspace-write,"Review openspec/changes/demo-apply/tasks.md and explain what changes you would make to satisfy the workflow expectations, but do NOT output a PASS/FAIL lint result and do NOT modify any files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same tasks/spec context, but asks for a plan only (no lint verdict) and forbids writes."
EV-137,core-error-fix-loop,explicit,true,tierb_batch2,workspace-write,"$core-error-fix-loop Command: npm run verify
Status: FAILED
Primary error: src/hello.js is missing (expected greet() to return 'hello')
Follow the strict loop (freeze command, parse first error, minimal fix, rerun). You cannot apply file changes directly: output a Blockers report using the provided template only.","[""no_writes"", ""trace_contains:Blockers report"", ""trace_contains:Command: npm run verify"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-138,core-error-fix-loop,implicit,true,tierb_batch2,workspace-write,"Command: npm run verify
Status: FAILED
Primary error: src/hello.js is missing (expected greet() to return 'hello')
Use a strict minimal fix-loop (do not change the command). Since you cannot edit files, output ONLY a filled Blockers report template with the smallest next step.","[""no_writes"", ""trace_contains:Blockers report"", ""trace_contains:Command: npm run verify"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-139,core-error-fix-loop,contextual,true,tierb_batch2,workspace-write,Read openspec/changes/demo-apply/specs/mini-spec.md and verify.mjs. The command `npm run verify` fails because src/hello.js is missing. Use the strict fix-loop to propose the smallest fix (include a code snippet for src/hello.js) and the exact rerun command; do NOT modify any files.,"[""file_exists:openspec/changes/demo-apply/specs/mini-spec.md"", ""file_exists:verify.mjs"", ""no_writes"", ""trace_contains:src/hello.js"", ""trace_contains:npm run verify"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",
EV-140,core-error-fix-loop,negative,false,tierb_batch2,workspace-write,"Give general advice (high-level) on improving CI reliability for a JS repo. Do not run commands, do not reference any specific error output, and do not modify files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: still about failures/CI, but lacks the frozen command + first error inputs required for the fix-loop skill."
EV-141,core-minimal-diff-implementer,explicit,true,tierc_corepack,workspace-write,$core-minimal-diff-implementer Write a minimal-diff plan to MINIMAL_DIFF_PLAN.md. Goal: replace ONLY the managed block in docs/RUNBOOK.md based on package.json scripts. Use the template headings: 'Iteration goal' and 'Minimal changes only' with 'Files touched'. Do not modify any other files.,"[""file_exists:MINIMAL_DIFF_PLAN.md"", ""file_contains:MINIMAL_DIFF_PLAN.md:Iteration goal"", ""file_contains:MINIMAL_DIFF_PLAN.md:Files touched"", ""file_contains:MINIMAL_DIFF_PLAN.md:docs/RUNBOOK.md"", ""writes_only:MINIMAL_DIFF_PLAN.md"", ""no_web_search""]",
EV-142,core-minimal-diff-implementer,implicit,true,tierc_corepack,workspace-write,"Before changing anything, create MINIMAL_DIFF_PLAN.md that restates the objective in one sentence, lists the minimum change, and lists the exact files to touch (only docs/RUNBOOK.md). Write ONLY that file.","[""file_exists:MINIMAL_DIFF_PLAN.md"", ""file_contains:MINIMAL_DIFF_PLAN.md:objective"", ""file_contains:MINIMAL_DIFF_PLAN.md:docs/RUNBOOK.md"", ""writes_only:MINIMAL_DIFF_PLAN.md"", ""no_web_search""]",
EV-143,core-minimal-diff-implementer,contextual,true,tierc_corepack,workspace-write,Read openspec/specs/workflow.md and draft a minimal-diff plan for adding a new OpenSpec change folder under openspec/changes/<slug>/ with only spec.md + tasks.md. Write the plan to MINIMAL_DIFF_PLAN.md and list the exact paths you would touch (under openspec/changes/ only).,"[""file_exists:MINIMAL_DIFF_PLAN.md"", ""file_contains:MINIMAL_DIFF_PLAN.md:openspec/changes"", ""writes_only:MINIMAL_DIFF_PLAN.md"", ""no_web_search""]",
EV-144,core-minimal-diff-implementer,negative,false,tierc_corepack,workspace-write,"In 5 bullets, explain what 'minimal diff' means in code reviews. Do not create or modify any files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: talks about minimal diffs, but asks only for explanation (no iteration implementation / no deliverable)."
EV-145,core-pr-ready-packager,explicit,true,tierc_corepack,workspace-write,"$core-pr-ready-packager Generate PR-ready delivery notes for the OpenSpec change 'archive-me' and write them to PR_NOTES.md. Include: Summary, How to run (use npm scripts from package.json), Verification (use evidence from openspec/changes/archive-me/tasks.md; include 'Result: PASS'), Scope (In/Out), Notes/Tradeoffs, Follow-ups.","[""file_exists:PR_NOTES.md"", ""file_contains:PR_NOTES.md:### Summary"", ""file_contains:PR_NOTES.md:### Verification"", ""file_contains:PR_NOTES.md:npm run verify"", ""file_contains:PR_NOTES.md:Result: PASS"", ""writes_only:PR_NOTES.md"", ""no_web_search""]",
EV-146,core-pr-ready-packager,implicit,true,tierc_corepack,workspace-write,"Create PR_NOTES.md packaging this change for submission: include summary, how to run, verification evidence (npm run verify, exit code 0), scope in/out, and any real follow-ups. Use openspec/changes/archive-me/tasks.md as the evidence source. Write ONLY PR_NOTES.md.","[""file_exists:PR_NOTES.md"", ""file_contains:PR_NOTES.md:how to run"", ""file_contains:PR_NOTES.md:npm run verify"", ""writes_only:PR_NOTES.md"", ""no_web_search""]",
EV-147,core-pr-ready-packager,contextual,true,tierc_corepack,workspace-write,"Read docs/RUNBOOK.md and package.json to derive the correct run commands, then write PR_NOTES.md using the PR-ready template. Ensure the Verification section references the gate 'npm run verify' and the evidence in openspec/changes/archive-me/tasks.md.","[""file_exists:PR_NOTES.md"", ""file_contains:PR_NOTES.md:npm ci"", ""file_contains:PR_NOTES.md:npm run verify"", ""writes_only:PR_NOTES.md"", ""no_web_search""]",
EV-148,core-pr-ready-packager,negative,false,tierc_corepack,workspace-write,List (in plain text) what sections a good PR description should have. Do not write or modify any files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Near-miss: same domain (PR notes) but no packaging for a concrete OpenSpec change and no deliverable requested.
EV-149,repo-runbook-command-extractor,explicit,true,tierc_corepack,workspace-write,$repo-runbook-command-extractor Update docs/RUNBOOK.md by replacing ONLY the managed block (between RUNBOOK:START/END). Resolve commands from package.json scripts and use 'npm ci' for install. No guessing.,"[""file_exists:docs/RUNBOOK.md"", ""file_not_contains:docs/RUNBOOK.md:TBD"", ""file_contains:docs/RUNBOOK.md:Install: npm ci"", ""file_contains:docs/RUNBOOK.md:Dev: npm run dev"", ""file_contains:docs/RUNBOOK.md:Test (unit): npm run test:unit"", ""file_contains:docs/RUNBOOK.md:Test (e2e): npm run test:e2e"", ""file_contains:docs/RUNBOOK.md:Build: npm run build"", ""file_contains:docs/RUNBOOK.md:Verify: npm run verify"", ""writes_only:docs/RUNBOOK.md"", ""no_web_search""]",
EV-150,repo-runbook-command-extractor,implicit,true,tierc_corepack,workspace-write,"docs/RUNBOOK.md has placeholders. Replace only the managed block with the real commands. Install is always 'npm ci'. Use package.json scripts to choose commands; if missing, mark UNVERIFIED. Write the updated docs/RUNBOOK.md.","[""file_not_contains:docs/RUNBOOK.md:TBD"", ""file_contains:docs/RUNBOOK.md:npm ci"", ""file_contains:docs/RUNBOOK.md:npm run verify"", ""writes_only:docs/RUNBOOK.md"", ""no_web_search""]",
EV-151,repo-runbook-command-extractor,contextual,true,tierc_corepack,workspace-write,Read docs/RUNBOOK.md and package.json. Update ONLY the managed block so that outside text (the '## Notes' section) stays unchanged. Ensure the Verify command is `npm run verify`.,"[""file_contains:docs/RUNBOOK.md:## Notes"", ""file_contains:docs/RUNBOOK.md:Verify: npm run verify"", ""writes_only:docs/RUNBOOK.md"", ""no_web_search""]",
EV-152,repo-runbook-command-extractor,negative,false,tierc_corepack,workspace-write,"Given the scripts in package.json, explain what commands should go into a RUNBOOK, but do NOT modify docs/RUNBOOK.md or any other file.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Near-miss: same intent (runbook accuracy) but requests explanation only; should not trigger a docs-editing skill.
EV-153,repo-testing-suites-discovery,explicit,true,tierc_corepack,workspace-write,"$repo-testing-suites-discovery Update docs/TESTING.md. Replace ONLY the managed block (TESTING:START/END) to document suites from package.json scripts. Unit should be 'npm run test:unit', E2E should be 'npm run test:e2e', Integration should be UNVERIFIED. State that 'npm run verify' is the single required gate.","[""file_exists:docs/TESTING.md"", ""file_not_contains:docs/TESTING.md:TBD"", ""file_contains:docs/TESTING.md:npm run test:unit"", ""file_contains:docs/TESTING.md:npm run test:e2e"", ""file_contains:docs/TESTING.md:UNVERIFIED"", ""file_contains:docs/TESTING.md:npm run verify"", ""writes_only:docs/TESTING.md"", ""no_web_search""]",
EV-154,repo-testing-suites-discovery,implicit,true,tierc_corepack,workspace-write,Create a deterministic testing map in docs/TESTING.md using only package.json scripts. Update only the managed block. Mark missing categories as UNVERIFIED. Mention the verify gate command.,"[""file_not_contains:docs/TESTING.md:TBD"", ""file_contains:docs/TESTING.md:verify"", ""writes_only:docs/TESTING.md"", ""no_web_search""]",
EV-155,repo-testing-suites-discovery,contextual,true,tierc_corepack,workspace-write,Read package.json and docs/TESTING.md. Update ONLY the managed block to reflect the available suites and explicitly separate required verify gate vs optional suites.,"[""file_contains:docs/TESTING.md:npm run verify"", ""writes_only:docs/TESTING.md"", ""no_web_search""]",
EV-156,repo-testing-suites-discovery,negative,false,tierc_corepack,workspace-write,Briefly describe common unit/integration/e2e testing approaches. Do not write or modify docs/TESTING.md or any other file.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: about testing documentation, but no repo-specific discovery requested."
EV-157,spec-archive-change,explicit,true,tierc_corepack,workspace-write,"$spec-archive-change Archive the OpenSpec change 'archive-me'. Append an 'Archive checklist' entry to openspec/changes/archive-me/tasks.md (Gate: PASS, Drift: PASS, Notes: ...), and write openspec/changes/archive-me/ARCHIVED.md with a short archive note including a summary and pointers to spec + tasks.","[""file_exists:openspec/changes/archive-me/tasks.md"", ""file_exists:openspec/changes/archive-me/ARCHIVED.md"", ""file_contains:openspec/changes/archive-me/tasks.md:Archive checklist"", ""file_contains:openspec/changes/archive-me/ARCHIVED.md:Summary"", ""file_contains:openspec/changes/archive-me/ARCHIVED.md:openspec/changes/archive-me/"", ""writes_only:openspec/changes/archive-me/tasks.md,openspec/changes/archive-me/ARCHIVED.md"", ""no_web_search""]",
